NODES,,,,,,,,,,,,,,,,,,,,,
ID,X,Y,Z,,,,,,,,,,,,,,,,,,
17,15,16,5,1,,,,,,,,,,,,,,,,,
18,15,13,5,1,,,,,,,,,,,,,,,,,
19,15,14,5,1,,,,,,,,,,,,,,,,,
20,15,17,5,1,,,,,,,,,,,,,,,,,
21,18,19,5,1,,,,,,,,,,,,,,,,,
22,18,16,5,1,,,,,,,,,,,,,,,,,
23,18,17,5,1,,,,,,,,,,,,,,,,,
24,18,20,5,1,,,,,,,,,,,,,,,,,
25,21,22,5,1,,,,,,,,,,,,,,,,,
26,21,23,5,1,,,,,,,,,,,,,,,,,
27,21,3,5,1,,,,,,,,,,,,,,,,,
28,21,2,5,1,,,,,,,,,,,,,,,,,
29,24,25,5,1,,,,,,,,,,,,,,,,,
30,24,22,5,1,,,,,,,,,,,,,,,,,
31,24,2,5,1,,,,,,,,,,,,,,,,,
32,24,7,5,1,,,,,,,,,,,,,,,,,
33,26,27,5,1,,,,,,,,,,,,,,,,,
34,26,25,5,1,,,,,,,,,,,,,,,,,
35,26,7,5,1,,,,,,,,,,,,,,,,,
36,26,10,5,1,,,,,,,,,,,,,,,,,
37,28,29,5,1,,,,,,,,,,,,,,,,,
38,28,27,5,1,,,,,,,,,,,,,,,,,
39,28,10,5,1,,,,,,,,,,,,,,,,,
40,28,13,5,1,,,,,,,,,,,,,,,,,
41,30,31,5,1,,,,,,,,,,,,,,,,,
42,30,29,5,1,,,,,,,,,,,,,,,,,
43,30,13,5,1,,,,,,,,,,,,,,,,,
44,30,16,5,1,,,,,,,,,,,,,,,,,
45,32,33,5,1,,,,,,,,,,,,,,,,,
46,32,31,5,1,,,,,,,,,,,,,,,,,
47,32,16,5,1,,,,,,,,,,,,,,,,,
48,32,19,5,1,,,,,,,,,,,,,,,,,
49,34,35,5,1,,,,,,,,,,,,,,,,,
50,34,36,5,1,,,,,,,,,,,,,,,,,
51,34,23,5,1,,,,,,,,,,,,,,,,,
52,34,22,5,1,,,,,,,,,,,,,,,,,
53,37,38,5,1,,,,,,,,,,,,,,,,,
54,37,35,5,1,,,,,,,,,,,,,,,,,
55,37,22,5,1,,,,,,,,,,,,,,,,,
56,37,25,5,1,,,,,,,,,,,,,,,,,
57,39,40,5,1,,,,,,,,,,,,,,,,,
58,39,38,5,1,,,,,,,,,,,,,,,,,
59,39,25,5,1,,,,,,,,,,,,,,,,,
60,39,27,5,1,,,,,,,,,,,,,,,,,
61,41,42,5,1,,,,,,,,,,,,,,,,,
62,41,40,5,1,,,,,,,,,,,,,,,,,
63,41,27,5,1,,,,,,,,,,,,,,,,,
64,41,29,5,1,,,,,,,,,,,,,,,,,
65,43,44,5,1,,,,,,,,,,,,,,,,,
66,43,42,5,1,,,,,,,,,,,,,,,,,
67,43,29,5,1,,,,,,,,,,,,,,,,,
68,43,31,5,1,,,,,,,,,,,,,,,,,
69,45,46,5,1,,,,,,,,,,,,,,,,,
70,45,44,5,1,,,,,,,,,,,,,,,,,
71,45,31,5,1,,,,,,,,,,,,,,,,,
72,45,33,5,1,,,,,,,,,,,,,,,,,
73,47,48,5,1,,,,,,,,,,,,,,,,,
74,47,49,5,1,,,,,,,,,,,,,,,,,
75,47,36,5,1,,,,,,,,,,,,,,,,,
76,47,35,5,1,,,,,,,,,,,,,,,,,
77,50,51,5,1,,,,,,,,,,,,,,,,,
78,50,48,5,1,,,,,,,,,,,,,,,,,
79,50,35,5,1,,,,,,,,,,,,,,,,,
80,50,38,5,1,,,,,,,,,,,,,,,,,
81,52,53,5,1,,,,,,,,,,,,,,,,,
82,52,51,5,1,,,,,,,,,,,,,,,,,
83,52,38,5,1,,,,,,,,,,,,,,,,,
